customerid,tgt,trips,amount_of_yen,quantity,purchase_period,purchase_recency,purchase_amount_per_trips,regularity,trips_cancellation,trips_cat85099,trips_cat85123,trips_cat22423,trips_cat47566,trips_cat84879,trips_cat20725,trips_cat22720,trips_catpost,trips_cat23203,trips_cat22383,mode_category
12352,0,8,601.18,188,34,100,75.1475,4.25,0,0,0,1,0,0,0,0,2,0,0,M
12359,1,4,3459.93,961,141,27,864.9825,35.25,0,1,0,2,1,0,0,1,0,0,0,82613
12383,1,5,1238.59,775,146,22,247.718,29.2,0,0,0,0,0,0,0,0,4,0,0,84997
12395,0,7,1035.9,837,176,0,147.985714285714,25.1428571428571,0,0,0,1,0,0,0,0,5,0,0,POST
12408,0,6,1460.79,725,97,1,243.465,16.1666666666667,0,1,0,0,0,0,0,0,2,0,0,85099
12413,1,4,499.95,201,100,74,124.9875,25,0,2,0,0,0,0,0,0,2,0,0,POST
12415,0,11,73717.01,47030,160,15,6701.54636363636,14.5454545454545,0,1,0,3,1,0,1,2,1,1,0,84997
12417,0,6,1556.58,623,149,25,259.43,24.8333333333333,0,0,0,0,0,0,0,1,4,0,0,POST
12423,0,5,1213.76,799,99,29,242.752,19.8,0,1,0,0,0,0,1,1,5,0,0,POST
12428,0,8,6236.23,2741,41,80,779.52875,5.125,0,1,1,0,1,0,0,1,4,0,0,POST
12431,0,7,2351.68,1007,124,28,335.954285714286,17.7142857142857,0,0,0,0,0,0,0,0,1,0,0,84945
12437,0,10,2421.98,1638,153,15,242.198,15.3,0,0,0,2,1,0,1,0,8,0,0,POST
12457,0,5,842.35,291,5,71,168.47,1,0,0,0,0,1,0,0,0,2,0,0,23199
12463,1,5,974.39,571,66,13,194.878,13.2,0,0,0,1,0,0,0,0,4,1,0,POST
12464,0,4,544.85,54,108,38,136.2125,27,0,0,0,0,0,0,0,0,3,0,0,POST
12471,0,19,4182.33,1420,134,42,220.122631578948,7.05263157894737,0,0,0,9,0,0,0,4,6,0,0,22423
12472,0,5,2534.62,1582,138,17,506.924,27.6,0,0,0,5,0,0,0,0,3,0,0,85049
12474,0,16,3094.42,1914,163,4,193.40125,10.1875,0,0,0,1,0,0,0,0,8,0,0,POST
12476,0,7,2364.9,817,108,41,337.842857142857,15.4285714285714,0,0,0,2,0,2,0,2,4,0,0,POST
12481,1,7,3304.96,2028,157,17,472.137142857143,22.4285714285714,0,0,0,0,0,1,0,0,4,2,0,POST
12483,0,8,1257.61,624,155,21,157.20125,19.375,0,0,0,0,0,0,1,0,5,0,0,POST
12494,0,4,635.84,269,142,34,158.96,35.5,0,0,0,0,0,0,2,0,2,0,2,84997
12500,0,5,1395.84,981,165,6,279.168,33,0,1,0,0,0,0,0,0,5,0,0,POST
12520,0,4,1645.81,936,68,42,411.4525,17,0,0,0,3,2,0,0,0,3,0,0,21843
12523,0,4,500.19,271,78,90,125.0475,19.5,0,0,0,1,0,0,0,1,1,0,0,23231
12524,1,6,3122.48,2290,171,0,520.413333333334,28.5,0,0,0,0,0,0,2,0,6,0,2,POST
12539,1,4,2801.84,1620,71,100,700.46,17.75,0,0,0,2,3,0,0,2,0,0,1,84509
12540,0,7,5555.81,2702,146,24,793.687142857143,20.8571428571429,0,0,0,4,0,5,0,0,6,0,0,POST
12553,0,8,1698.32,939,125,42,212.29,15.625,0,3,0,0,0,0,3,0,4,0,0,84997
12567,0,6,3878.38,1624,128,17,646.396666666667,21.3333333333333,0,1,0,0,0,1,1,1,3,0,0,23206
12569,0,8,1378.04,612,90,0,172.255,11.25,0,0,0,0,0,0,0,0,7,0,0,POST
12583,0,7,2786.01,2642,165,9,398.001428571428,23.5714285714286,0,0,0,0,0,0,0,0,7,0,0,POST
12584,0,4,573.04,109,116,1,143.26,29,0,0,0,0,0,0,0,2,1,0,0,22848
12594,0,8,1789.95,918,139,21,223.74375,17.375,0,0,0,0,0,0,0,0,5,0,0,POST
12598,0,4,1265.34,662,63,58,316.335,15.75,0,0,0,0,0,0,0,0,2,0,0,22181
12599,0,4,598.14,537,139,2,149.535,34.75,0,0,0,0,0,0,0,0,4,0,0,POST
12600,0,5,1023.16,261,105,42,204.632,21,0,0,0,0,0,2,0,0,5,0,0,POST
12601,1,6,569.56,244,142,27,94.9266666666667,23.6666666666667,0,0,0,0,0,0,0,0,5,0,0,POST
12613,1,4,1462.52,759,64,35,365.63,16,0,2,0,0,0,0,0,1,3,0,0,POST
12621,0,11,6645.32,3722,125,10,604.12,11.3636363636364,0,1,0,2,0,0,3,0,8,2,3,POST
12626,0,5,1981.29,1009,164,0,396.258,32.8,0,1,0,0,0,0,0,0,3,1,0,POST
12637,0,6,2323.1,1073,84,77,387.183333333334,14,0,1,0,1,0,0,1,1,3,0,2,84927
12643,0,5,2142.42,1109,160,10,428.484,32,0,0,0,0,0,0,0,0,5,0,0,POST
12662,0,5,1543.9,853,121,25,308.78,24.2,0,1,0,0,0,0,0,0,4,0,0,POST
12678,0,5,5629.88,3657,108,13,1125.976,21.6,0,1,0,0,0,0,0,0,3,1,0,POST
12681,0,14,6594.23,3654,151,25,471.016428571429,10.7857142857143,0,1,0,4,2,0,1,0,11,0,0,POST
12682,0,11,4987.09,2061,160,15,453.371818181818,14.5454545454545,0,0,0,4,3,0,2,0,10,2,2,15056
12683,0,11,3952.1,2404,153,22,359.281818181818,13.9090909090909,0,0,0,2,0,0,0,0,6,0,0,POST
12684,1,4,1379.48,1274,42,8,344.87,10.5,0,0,0,0,0,0,0,0,3,0,0,POST
12693,0,4,615.77,217,107,49,153.9425,26.75,0,0,0,0,0,0,0,0,3,0,0,POST
12705,0,4,2264.65,1321,68,14,566.1625,17,0,1,0,1,0,0,1,0,1,0,0,85049
12708,0,9,1346.61,736,157,10,149.623333333333,17.4444444444444,0,0,0,1,0,0,0,0,5,0,0,22326
12709,0,9,3616.37,1752,127,28,401.818888888889,14.1111111111111,0,0,0,4,0,0,0,0,2,0,0,22467
12712,0,9,2307.5,556,149,20,256.388888888889,16.5555555555556,0,0,0,0,0,0,0,0,8,0,0,POST
