customerid,trips,amount_of_yen,quantity,purchase_period,purchase_recency,purchase_amount_per_trips,regularity,trips_cancellation,trips_cat85099,trips_cat85123,trips_cat22423,trips_cat47566,trips_cat84879,trips_cat20725,trips_cat22720,trips_catpost,trips_cat23203,trips_cat22383,mode_category,tgt
12362,5,2080.34,1018,153,2,416.068,30.6,0,1,0,1,1,0,0,0,4,0,1,POST,0
12395,4,661.64,293,106,42,165.41,26.5,0,0,0,1,0,0,0,0,4,0,0,POST,0
12408,5,1265.48,679,147,28,253.096,29.4,0,0,0,0,0,0,0,0,2,0,0,22328,0
12409,7,11056.93,5543,103,8,1579.56142857143,14.7142857142857,0,1,1,2,1,0,0,0,0,0,0,23298,1
12415,13,63661.49,43090,152,29,4897.03769230769,11.6923076923077,0,4,0,2,2,0,3,4,1,4,0,22492,0
12417,4,1791.74,935,118,36,447.935,29.5,0,0,0,1,0,0,0,0,4,0,0,POST,0
12423,5,862.88,603,147,28,172.576,29.4,0,0,0,0,0,0,0,0,4,0,0,POST,0
12428,5,1544.24,819,138,38,308.848,27.6,0,2,0,0,1,0,0,0,4,2,0,POST,0
12431,9,2592.23,1199,92,49,288.025555555556,10.2222222222222,0,0,0,0,0,0,2,0,0,0,1,84978,0
12437,7,1903.34,1169,147,8,271.905714285714,21,0,0,0,3,2,0,1,0,6,0,0,POST,0
12455,4,767.96,566,116,3,191.99,29,0,1,0,0,0,0,1,0,4,1,1,POST,1
12457,9,1932.23,699,157,11,214.692222222222,17.4444444444444,0,0,0,0,1,0,0,0,3,0,0,POST,0
12463,5,974.39,571,66,105,194.878,13.2,0,0,0,1,0,0,0,0,4,1,0,POST,0
12464,4,416.7,45,94,36,104.175,23.5,0,0,0,0,0,0,0,0,3,0,0,POST,0
12471,17,4770.5,2362,171,8,280.617647058824,10.0588235294118,0,0,0,6,0,0,0,0,8,0,0,POST,0
12473,4,1109.79,805,77,44,277.4475,19.25,0,1,0,0,0,1,0,0,3,1,0,POST,0
12474,12,2325.59,1642,168,10,193.799166666667,14,0,0,0,0,0,0,0,0,5,0,0,POST,0
12476,8,2929.2,1122,150,14,366.15,18.75,0,0,0,4,0,1,0,0,4,2,0,POST,0
12477,4,6379.55000000001,1848,147,21,1594.8875,36.75,0,1,0,0,0,0,0,0,0,0,0,84968,0
12481,4,1869.53,922,67,109,467.3825,16.75,0,0,0,0,0,0,0,0,2,2,0,23208,0
12483,7,1059.5,495,127,28,151.357142857143,18.1428571428571,0,0,0,0,0,0,1,0,4,0,0,22779,0
12490,5,2688.37,1462,121,23,537.674,24.2,0,3,0,0,0,0,2,0,5,3,0,POST,0
12523,5,780.69,440,173,9,156.138,34.6,0,0,0,0,0,0,0,0,3,0,0,23231,0
12540,10,7012.55999999999,3613,141,7,701.255999999999,14.1,0,0,2,4,0,5,1,1,9,0,0,POST,0
12562,4,1993.87,1007,116,11,498.4675,29,0,1,0,0,0,0,1,0,4,2,2,POST,0
12567,7,4384.53,1922,105,26,626.361428571429,15,0,1,0,1,1,2,1,0,4,0,0,23206,0
12569,17,2125.98,850,160,22,125.057647058824,9.41176470588235,0,0,0,0,0,0,0,0,15,0,0,POST,0
12576,4,660.85,463,122,25,165.2125,30.5,0,0,0,0,0,0,0,0,0,0,0,16016,0
12583,8,2464.61,2182,130,0,308.07625,16.25,0,0,0,0,0,0,0,0,7,0,0,POST,0
12584,7,514.36,92,105,10,73.48,15,0,0,0,2,0,0,0,3,0,0,0,22627,0
12594,4,1607.4,1020,113,51,401.85,28.25,0,0,0,0,0,0,0,0,0,0,0,23206,0
12598,4,1225.28,943,149,1,306.32,37.25,0,0,0,0,0,0,0,0,3,0,0,POST,0
12599,4,544.58,462,81,56,136.145,20.25,0,0,0,0,0,0,0,0,4,0,0,POST,0
12600,6,1374.64,408,140,14,229.106666666667,23.3333333333333,0,1,0,0,0,1,0,0,6,0,0,POST,0
12619,9,2160.97,2347,162,1,240.107777777778,18,0,0,0,0,0,0,0,0,5,0,0,POST,0
12621,14,7315.7,3849,145,11,522.55,10.3571428571429,0,3,0,2,0,0,4,0,10,3,3,POST,0
12626,6,3375.32,1808,49,42,562.553333333333,8.16666666666667,0,2,0,0,0,0,1,0,4,2,0,POST,0
12627,5,2727.83,1575,44,26,545.566,8.8,0,1,0,2,0,0,1,1,4,0,0,POST,0
12637,5,3886.95,2043,147,21,777.39,29.4,0,0,0,1,1,0,0,0,2,0,1,22556,0
12643,5,2473.44,1230,92,58,494.688,18.4,0,0,0,0,0,0,0,0,5,0,0,POST,1
12647,6,1743.37,746,167,8,290.561666666667,27.8333333333333,0,1,0,0,0,0,1,0,6,0,0,POST,0
12656,6,3405.47,1535,170,2,567.578333333334,28.3333333333333,0,1,0,2,0,0,5,0,4,1,2,20725,0
12662,4,1754.08,890,131,37,438.52,32.75,0,0,0,0,0,0,0,0,4,0,0,84997,0
12674,4,1372,763,116,21,343,29,0,0,0,0,0,0,0,0,3,0,0,POST,0
12678,7,4822.46,3147,171,8,688.922857142857,24.4285714285714,0,0,0,0,0,0,0,0,5,1,0,POST,0
12681,10,4098.58,2408,163,3,409.858,16.3,0,0,0,3,1,0,0,0,7,0,0,POST,0
12682,16,5407.67,2476,168,11,337.979375,10.5,0,1,0,1,4,0,4,0,14,5,1,POST,0
12683,8,3086.42,1781,128,22,385.8025,16,0,0,0,2,1,0,0,0,5,0,0,POST,0
12684,4,1379.48,1274,42,100,344.87,10.5,0,0,0,0,0,0,0,0,3,0,0,POST,0
12704,4,1346.47,603,91,8,336.6175,22.75,0,2,0,0,0,0,0,0,4,1,0,15056,0
12705,8,4100.14,2642,168,7,512.5175,21,0,1,0,1,0,0,2,0,2,0,2,85049,0
12708,9,1562.68,683,159,2,173.631111111111,17.6666666666667,0,0,0,2,0,0,0,0,5,0,0,POST,0
12709,13,4201.56,1965,168,1,323.196923076923,12.9230769230769,0,0,0,2,2,0,0,0,2,0,0,47590,0
12710,4,1130.57,849,104,26,282.6425,26,0,0,0,0,0,0,0,0,3,0,0,POST,1
12712,5,2357.65,500,106,36,471.53,21.2,0,0,0,0,0,0,0,0,5,0,0,15056,0
12720,15,2203.97,1821,168,3,146.931333333333,11.2,0,2,0,0,0,0,1,0,3,2,0,POST,0
12722,6,904.33,560,65,15,150.721666666667,10.8333333333333,0,0,1,0,0,0,0,1,1,0,0,85066,1
12731,7,8211.86,4035,182,0,1173.12285714286,26,0,0,0,2,0,3,5,0,1,0,0,20725,0
12744,6,6068.06,3544,104,74,1011.34333333333,17.3333333333333,0,1,1,1,1,0,0,0,0,0,0,M,0
12747,4,1449.31,415,108,39,362.3275,27,0,1,1,0,0,2,0,0,0,0,0,85062,0
