customerid,trips,amount_of_yen,quantity,purchase_period,purchase_recency,purchase_amount_per_trips,regularity,trips_cancellation,trips_cat85099,trips_cat85123,trips_cat22423,trips_cat47566,trips_cat84879,trips_cat20725,trips_cat22720,trips_catpost,trips_cat23203,trips_cat22383,mode_category,tgt
12352,8,601.18,188,34,100,75.1475,4.25,0,0,0,1,0,0,0,0,2,0,0,M,0
12359,4,3459.93,961,141,27,864.9825,35.25,0,1,0,2,1,0,0,1,0,0,0,82613,1
12383,5,1238.59,775,146,22,247.718,29.2,0,0,0,0,0,0,0,0,4,0,0,84997,1
12395,7,1035.9,837,176,0,147.985714285714,25.1428571428571,0,0,0,1,0,0,0,0,5,0,0,POST,0
12408,6,1460.79,725,97,1,243.465,16.1666666666667,0,1,0,0,0,0,0,0,2,0,0,85099,0
12413,4,499.95,201,100,74,124.9875,25,0,2,0,0,0,0,0,0,2,0,0,POST,1
12415,11,73717.01,47030,160,15,6701.54636363636,14.5454545454545,0,1,0,3,1,0,1,2,1,1,0,84997,0
12417,6,1556.58,623,149,25,259.43,24.8333333333333,0,0,0,0,0,0,0,1,4,0,0,POST,0
12423,5,1213.76,799,99,29,242.752,19.8,0,1,0,0,0,0,1,1,5,0,0,POST,0
12428,8,6236.23,2741,41,80,779.52875,5.125,0,1,1,0,1,0,0,1,4,0,0,POST,0
12431,7,2351.68,1007,124,28,335.954285714286,17.7142857142857,0,0,0,0,0,0,0,0,1,0,0,84945,0
12437,10,2421.98,1638,153,15,242.198,15.3,0,0,0,2,1,0,1,0,8,0,0,POST,0
12457,5,842.35,291,5,71,168.47,1,0,0,0,0,1,0,0,0,2,0,0,23199,0
12463,5,974.39,571,66,13,194.878,13.2,0,0,0,1,0,0,0,0,4,1,0,POST,1
12464,4,544.85,54,108,38,136.2125,27,0,0,0,0,0,0,0,0,3,0,0,POST,0
12471,19,4182.33,1420,134,42,220.122631578948,7.05263157894737,0,0,0,9,0,0,0,4,6,0,0,22423,0
12472,5,2534.62,1582,138,17,506.924,27.6,0,0,0,5,0,0,0,0,3,0,0,85049,0
