customerid,trips,amount_of_yen,quantity,purchase_period,purchase_recency,purchase_amount_per_trips,regularity,trips_cancellation,trips_cat85099,trips_cat85123,trips_cat22423,trips_cat47566,trips_cat84879,mode_category,tgt
12352,8,601.1800000000001,188,34,100,75.14750000000001,4.25,0,0,0,1,0,0,M,0
12359,4,3459.93,961,141,27,864.9825,35.25,0,1,0,2,1,0,82613,1
12383,5,1238.5900000000004,775,146,22,247.71800000000007,29.2,0,0,0,0,0,0,84997,1
12395,7,1035.8999999999999,837,176,0,147.98571428571427,25.142857142857142,0,0,0,1,0,0,POST,0
12408,6,1460.7900000000006,725,97,1,243.46500000000012,16.166666666666668,0,1,0,0,0,0,85099,0
12413,4,499.95000000000005,201,100,74,124.98750000000001,25,0,2,0,0,0,0,POST,1
12415,11,73717.00999999998,47030,160,15,6701.546363636362,14.545454545454545,0,1,0,3,1,0,84997,0
12417,6,1556.5800000000004,623,149,25,259.43000000000006,24.833333333333332,0,0,0,0,0,0,POST,0
12423,5,1213.7600000000004,799,99,29,242.7520000000001,19.8,0,1,0,0,0,0,POST,0
12428,8,6236.230000000001,2741,41,80,779.5287500000002,5.125,0,1,1,0,1,0,POST,0
12431,7,2351.68,1007,124,28,335.9542857142857,17.714285714285715,0,0,0,0,0,0,84945,0
12437,10,2421.9799999999996,1638,153,15,242.19799999999995,15.3,0,0,0,2,1,0,POST,0
12457,5,842.35,291,5,71,168.47,1,0,0,0,0,1,0,23199,0
12463,5,974.3899999999999,571,66,13,194.878,13.2,0,0,0,1,0,0,POST,1
12464,4,544.8499999999999,54,108,38,136.21249999999998,27,0,0,0,0,0,0,POST,0
12471,19,4182.33,1420,134,42,220.12263157894736,7.052631578947368,0,0,0,9,0,0,22423,0
12472,5,2534.62,1582,138,17,506.924,27.6,0,0,0,5,0,0,85049,0
12474,16,3094.4200000000005,1914,163,4,193.40125000000003,10.1875,0,0,0,1,0,0,POST,0
12476,7,2364.8999999999996,817,108,41,337.8428571428571,15.428571428571429,0,0,0,2,0,2,POST,0
12481,7,3304.9600000000005,2028,157,17,472.1371428571429,22.428571428571427,0,0,0,0,0,1,POST,1
12483,8,1257.6100000000001,624,155,21,157.20125000000002,19.375,0,0,0,0,0,0,POST,0
12494,4,635.84,269,142,34,158.96,35.5,0,0,0,0,0,0,84997,0
12500,5,1395.84,981,165,6,279.168,33,0,1,0,0,0,0,POST,0
12520,4,1645.8100000000002,936,68,42,411.45250000000004,17,0,0,0,3,2,0,21843,0
12523,4,500.18999999999994,271,78,90,125.04749999999999,19.5,0,0,0,1,0,0,23231,0
12524,6,3122.4800000000005,2290,171,0,520.4133333333334,28.5,0,0,0,0,0,0,POST,1
12539,4,2801.8399999999956,1620,71,100,700.4599999999989,17.75,0,0,0,2,3,0,84509,1
12540,7,5555.809999999998,2702,146,24,793.6871428571425,20.857142857142858,0,0,0,4,0,5,POST,0
12553,8,1698.319999999999,939,125,42,212.28999999999988,15.625,0,3,0,0,0,0,84997,0
12567,6,3878.380000000001,1624,128,17,646.3966666666669,21.333333333333332,0,1,0,0,0,1,23206,0
12569,8,1378.0400000000002,612,90,0,172.25500000000002,11.25,0,0,0,0,0,0,POST,0
12583,7,2786.0099999999993,2642,165,9,398.00142857142845,23.571428571428573,0,0,0,0,0,0,POST,0
12584,4,573.0400000000001,109,116,1,143.26000000000002,29,0,0,0,0,0,0,22848,0
12594,8,1789.9500000000007,918,139,21,223.7437500000001,17.375,0,0,0,0,0,0,POST,0
12598,4,1265.3399999999997,662,63,58,316.3349999999999,15.75,0,0,0,0,0,0,22181,0
12599,4,598.1400000000001,537,139,2,149.53500000000003,34.75,0,0,0,0,0,0,POST,0
12600,5,1023.16,261,105,42,204.632,21,0,0,0,0,0,2,POST,0
12601,6,569.56,244,142,27,94.92666666666666,23.666666666666668,0,0,0,0,0,0,POST,1
12613,4,1462.52,759,64,35,365.63,16,0,2,0,0,0,0,POST,1
12621,11,6645.320000000002,3722,125,10,604.1200000000002,11.363636363636363,0,1,0,2,0,0,POST,0
12626,5,1981.29,1009,164,0,396.258,32.8,0,1,0,0,0,0,POST,0
12637,6,2323.100000000001,1073,84,77,387.18333333333345,14,0,1,0,1,0,0,84927,0
12643,5,2142.42,1109,160,10,428.48400000000004,32,0,0,0,0,0,0,POST,0
12662,5,1543.8999999999994,853,121,25,308.77999999999986,24.2,0,1,0,0,0,0,POST,0
12678,5,5629.879999999999,3657,108,13,1125.9759999999999,21.6,0,1,0,0,0,0,POST,0
12681,14,6594.230000000003,3654,151,25,471.0164285714288,10.785714285714286,0,1,0,4,2,0,POST,0
12682,11,4987.090000000001,2061,160,15,453.3718181818183,14.545454545454545,0,0,0,4,3,0,15056,0
12683,11,3952.099999999999,2404,153,22,359.2818181818181,13.909090909090908,0,0,0,2,0,0,POST,0
12684,4,1379.4799999999996,1274,42,8,344.8699999999999,10.5,0,0,0,0,0,0,POST,1
12693,4,615.7700000000001,217,107,49,153.94250000000002,26.75,0,0,0,0,0,0,POST,0
12705,4,2264.65,1321,68,14,566.1625,17,0,1,0,1,0,0,85049,0
12708,9,1346.6100000000004,736,157,10,149.62333333333336,17.444444444444443,0,0,0,1,0,0,22326,0
12709,9,3616.3699999999994,1752,127,28,401.8188888888888,14.11111111111111,0,0,0,4,0,0,22467,0
12712,9,2307.4999999999995,556,149,20,256.38888888888886,16.555555555555557,0,0,0,0,0,0,POST,0
12720,10,1955.6200000000003,1526,143,7,195.56200000000004,14.3,0,1,0,0,0,0,POST,0
